"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3190","Test-12: Verify the user can successfully subscribe to the newsletter","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","13640","Test-04: Verify mandatory fields in the delivery details step","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","3122","Test-03: Verify the Back button on the Edit Account page returns to the dashboard","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","17246","Test-09: Verify order summary in the confirm order step matches cart items","webkit","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","5134","Test-10: Verify the Show dropdown correctly limits the maximum number of products displayed","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","4807","Test-06: Verify user can successfully edit an existing address","firefox","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","3079","Test-01: Verify searching for a valid existing product returns the correct results grid","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","2890","Test-08: Verify navigation to the Downloads page loads successfully","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","6882","Test-16: Verify session invalidation on browser back button","webkit","2026-06-01","failed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","12042","Test-06: Add comments to the order during the delivery method step","firefox","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","4309","Test-11: Verify all mandatory warning messages appear when submitting a blank registration form","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","6073","Test-14: Verify the ""Continue Shopping"" button redirects to the homepage","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
